id,product_name,buying_price,selling_price,bought_quantity,current_quantity,rate_of_returns,shelf_life,turnover_rate,supplier_lead_time,transportation_cost,previous_restock_time,quantity_to_buy
1,Luxury Cashmere Coat,1200.0,2500.0,300,150,0.02,365,0.5,7,30,14,10
2,Designer Silk Gown,1500.0,3500.0,150,80,0.01,180,0.8,14,50,21,5
3,Handcrafted Leather Jacket,1800.0,4000.0,250,100,0.02,365,0.6,10,40,10,15
4,High-end Business Suit,2000.0,4500.0,100,50,0.03,365,0.7,8,35,10,8
5,Exquisite Wedding Dress,2500.0,6000.0,80,40,0.01,180,0.9,12,45,18,4
6,Luxury Denim Overalls,1800.0,3500.0,180,60,0.02,365,0.5,6,25,12,10
7,Bespoke Tailored Tuxedo,3000.0,7000.0,120,40,0.04,365,0.4,6,28,15,5
8,Haute Couture Evening Gown,3500.0,8000.0,50,20,0.01,180,0.7,9,38,20,2
9,Artisanal Embroidered Jacket,2000.0,4500.0,150,50,0.03,365,0.6,5,22,8,6
10,Luxury Velvet Blazer,2800.0,6000.0,80,30,0.02,365,0.8,7,32,13,4
11,Statement Sequin Dress,3500.0,7500.0,120,50,0.02,180,0.7,9,38,18,3
12,Handwoven Cashmere Scarf,1200.0,2500.0,180,60,0.01,365,0.8,5,22,8,12
13,Modern Leather Blazer,2000.0,4200.0,140,70,0.03,365,0.7,8,35,10,14
14,Ethnic Embroidered Dress,1800.0,3500.0,100,40,0.01,180,0.8,11,42,19,8
15,Luxe Silk Kimono,2500.0,5500.0,120,60,0.02,365,0.6,9,38,18,10
16,Timeless Wool Peacoat,1800.0,3800.0,80,30,0.01,365,0.9,12,45,18,6
17,Chic Linen Jumpsuit,1500.0,3200.0,110,55,0.02,180,0.5,10,40,14,12
18,Leather Biker Jacket,2200.0,4800.0,100,50,0.03,365,0.7,8,35,10,15
19,Bohemian Maxi Skirt,1200.0,2500.0,130,65,0.02,365,0.8,7,32,13,10
20,Classic Wool Blazer,2800.0,6000.0,90,40,0.02,365,0.7,9,38,18,5
21,Floral Lace Evening Gown,3500.0,7500.0,150,70,0.01,180,0.8,11,42,19,4
22,Vintage Wool Fedora,1800.0,3500.0,180,80,0.02,365,0.6,9,38,18,8
23,Chiffon Pleated Dress,2000.0,4200.0,100,40,0.03,180,0.7,8,35,10,12
24,Luxury Leather Handbag,2500.0,5500.0,120,60,0.02,365,0.5,10,40,14,14
25,Embroidered Cashmere Sweater,1200.0,2500.0,90,45,0.01,365,0.9,12,45,18,6
26,Statement Fringe Jacket,1800.0,3800.0,100,50,0.02,365,0.8,11,42,19,10
27,Velvet Wrap Midi Dress,1500.0,3200.0,80,40,0.01,180,0.7,9,38,18,8
28,Handwoven Silk Scarf,2800.0,6000.0,130,65,0.03,365,0.6,8,35,10,12
29,Luxury Cashmere Pullover,3500.0,7500.0,140,70,0.02,180,0.5,7,32,13,14
30,Silk Slip Maxi Dress,2000.0,4200.0,110,55,0.02,365,0.8,10,40,14,10
31,Leather Moto Boots,1800.0,3500.0,90,40,0.01,180,0.9,12,45,18,8
32,Tweed Blazer Dress,2500.0,5500.0,100,50,0.02,365,0.7,11,42,19,6
33,Boho Embroidered Kimono,3500.0,7500.0,80,30,0.01,180,0.8,9,38,18,10
34,Plaid Wool Wrap Skirt,2800.0,6000.0,120,60,0.02,365,0.6,10,40,14,12
35,Designer Silk Gown,1500.0,3500.0,150,80,0.01,180,0.8,14,50,21,5
36,Linen Wrap Jumpsuit,1800.0,3500.0,80,40,0.01,180,0.7,8,35,10,8
37,Suede Ankle Boots,2500.0,5500.0,110,55,0.02,365,0.8,9,38,18,6
38,Chic Lace Cocktail Dress,2800.0,6000.0,100,50,0.02,365,0.7,11,42,19,6
39,Velvet Turtleneck Sweater,2000.0,4200.0,120,60,0.02,365,0.5,10,40,14,12
40,Classic Wool Trench Coat,3500.0,7500.0,140,70,0.02,180,0.6,8,35,10,14
41,Printed Satin Midi Skirt,1800.0,3500.0,90,45,0.03,180,0.7,9,38,18,8
42,Leather Crossbody Bag,2500.0,5500.0,80,40,0.01,365,0.8,10,40,14,10
43,Structured Blazer Dress,3000.0,6500.0,100,50,0.02,365,0.7,11,42,19,6
44,Embellished Velvet Clutch,1800.0,3800.0,120,60,0.02,365,0.8,9,38,18,8
45,Ruffled Chiffon Maxi Dress,3500.0,7500.0,110,55,0.01,180,0.6,10,40,14,6
46,Leopard Print Ankle Boots,2500.0,5500.0,80,40,0.02,365,0.7,8,35,10,10
47,Chunky Knit Turtleneck Sweater,1800.0,3500.0,90,45,0.01,180,0.8,11,42,19,12
48,Structured Tote Bag,2800.0,6000.0,140,70,0.03,365,0.6,9,38,18,14
49,Sequin Mini Skirt,2000.0,4200.0,120,60,0.02,365,0.5,8,35,10,6
50,Printed Wrap Dress,3500.0,7500.0,100,50,0.01,180,0.7,10,40,14,8
51,Leather Platform Sandals,1800.0,3500.0,80,40,0.02,365,0.8,11,42,19,10
52,Classic Wool Pullover,2500.0,5500.0,110,55,0.02,365,0.7,9,38,18,6
53,Plaid Wool Blazer,2800.0,6000.0,90,45,0.01,180,0.6,10,40,14,8
54,Denim Shirt Dress,2000.0,4200.0,140,70,0.02,365,0.7,8,35,10,12
55,Lace-Up Combat Boots,3500.0,7500.0,120,60,0.02,180,0.8,9,38,18,14
56,Floral Print Maxi Dress,1800.0,3500.0,110,55,0.03,180,0.5,10,40,14,6
57,Quilted Leather Shoulder Bag,2500.0,5500.0,80,40,0.01,365,0.7,11,42,19,10
58,Structured Midi Skirt,2800.0,6000.0,90,45,0.02,365,0.8,8,35,10,8
59,Chunky Knit Cardigan,2000.0,4200.0,100,50,0.01,180,0.7,9,38,18,10
60,Animal Print Wrap Blouse,3500.0,7500.0,120,60,0.02,365,0.6,10,40,14,8
61,Patent Leather Ankle Boots,1800.0,3500.0,80,40,0.02,365,0.8,11,42,19,12
62,Embroidered Wool Beret,2500.0,5500.0,90,45,0.01,365,0.7,9,38,18,6
63,Sequin Shift Dress,2800.0,6000.0,110,55,0.02,365,0.5,10,40,14,10
64,Classic Trench Coat,2000.0,4200.0,120,60,0.03,180,0.7,8,35,10,12
65,Ruffle Hem Mini Skirt,3500.0,7500.0,80,40,0.01,180,0.8,9,38,18,6
66,Leather Loafers,1800.0,3500.0,100,50,0.02,365,0.6,10,40,14,8
67,Floral Print Wrap Dress,2500.0,5500.0,120,60,0.02,365,0.7,11,42,19,12
68,Structured Crossbody Bag,2800.0,6000.0,90,45,0.01,180,0.8,10,40,14,10
69,Textured Wool Pullover,2000.0,4200.0,110,55,0.02,365,0.7,8,35,10,8
70,Exquisite Wedding Dress,2500.0,6000.0,80,40,0.01,180,0.9,12,45,18,4
71,Classic Leather Chelsea Boots,1800.0,3500.0,90,45,0.01,365,0.8,11,42,19,12
72,Printed Wool Wrap Skirt,2500.0,5500.0,110,55,0.02,365,0.7,9,38,18,6
73,Chic Knit Turtleneck Sweater,2800.0,6000.0,100,50,0.02,365,0.7,11,42,19,6
74,Silk Button-Up Blouse,2000.0,4200.0,120,60,0.02,365,0.5,10,40,14,12
75,Structured Wool Peacoat,3500.0,7500.0,140,70,0.02,180,0.6,8,35,10,14
76,Striped Linen Midi Dress,1800.0,3500.0,90,45,0.03,180,0.7,9,38,18,8
77,Leather Hobo Bag,2500.0,5500.0,80,40,0.01,365,0.8,10,40,14,10
78,Plaid Wool Shift Dress,2800.0,6000.0,110,55,0.02,365,0.7,11,42,19,6
79,Embellished Velvet Sandals,1800.0,3800.0,120,60,0.02,365,0.8,9,38,18,8
80,Chunky Knit Turtleneck Sweater,3500.0,7500.0,110,55,0.01,180,0.6,10,40,14,6
81,Suede Fringe Jacket,2500.0,5500.0,80,40,0.02,365,0.7,8,35,10,10
82,Floral Print A-Line Skirt,1800.0,3500.0,90,45,0.01,180,0.8,11,42,19,12
83,Leather Crossbody Clutch,2800.0,6000.0,140,70,0.02,365,0.8,9,38,18,14
84,Sequin Mini Dress,2000.0,4200.0,120,60,0.02,365,0.5,8,35,10,6
85,Printed Wrap Maxi Dress,3500.0,7500.0,100,50,0.01,180,0.7,10,40,14,8
86,Leather Lace-Up Boots,1800.0,3500.0,80,40,0.02,365,0.8,11,42,19,10
87,Classic Wool Pullover,2500.0,5500.0,110,55,0.02,365,0.7,9,38,18,6
88,Plaid Wool Blazer,2800.0,6000.0,90,45,0.01,180,0.6,10,40,14,8
89,Denim Shirt Dress,2000.0,4200.0,140,70,0.02,365,0.7,8,35,10,12
90,Lace-Up Combat Boots,3500.0,7500.0,120,60,0.02,180,0.8,9,38,18,14
91,Floral Print Maxi Dress,1800.0,3500.0,110,55,0.03,180,0.5,10,40,14,6
92,Quilted Leather Shoulder Bag,2500.0,5500.0,80,40,0.01,365,0.7,11,42,19,10
93,Structured Midi Skirt,2800.0,6000.0,90,45,0.02,365,0.8,8,35,10,8
94,Chunky Knit Cardigan,2000.0,4200.0,100,50,0.01,180,0.7,9,38,18,10
95,Artisanal Embroidered Jacket,2000.0,4500.0,150,50,0.03,365,0.6,5,22,8,6
96,Patent Leather Ankle Boots,1800.0,3500.0,80,40,0.02,365,0.8,11,42,19,12
97,Embroidered Wool Beret,2500.0,5500.0,90,45,0.01,365,0.7,9,38,18,6
98,Sequin Shift Dress,2800.0,6000.0,110,55,0.02,365,0.5,10,40,14,10
99,Classic Trench Coat,2000.0,4200.0,120,60,0.03,180,0.7,8,35,10,12
100,Ruffle Hem Mini Skirt,3500.0,7500.0,80,40,0.01,180,0.8,9,38,18,6
101,Leather Loafers,1800.0,3500.0,100,50,0.02,365,0.6,10,40,14,8
102,Floral Print Wrap Dress,2500.0,5500.0,120,60,0.02,365,0.7,11,42,19,12
103,Structured Crossbody Bag,2800.0,6000.0,90,45,0.01,180,0.8,10,40,14,10
104,Textured Wool Pullover,2000.0,4200.0,110,55,0.02,365,0.7,8,35,10,8
105,Lace Trim Midi Dress,3500.0,7500.0,80,40,0.02,180,0.6,10,40,14,6
106,Classic Leather Chelsea Boots,1800.0,3500.0,90,45,0.01,365,0.8,11,42,19,12
107,Printed Wool Wrap Skirt,2500.0,5500.0,110,55,0.02,365,0.7,9,38,18,6
108,Chic Knit Turtleneck Sweater,2800.0,6000.0,100,50,0.02,365,0.7,11,42,19,6
109,Silk Button-Up Blouse,2000.0,4200.0,120,60,0.02,365,0.5,10,40,14,12
110,Structured Wool Peacoat,3500.0,7500.0,140,70,0.02,180,0.6,8,35,10,14
111,Striped Linen Midi Dress,1800.0,3500.0,90,45,0.03,180,0.7,9,38,18,8
112,Leather Hobo Bag,2500.0,5500.0,80,40,0.01,365,0.8,10,40,14,10
113,Plaid Wool Shift Dress,2800.0,6000.0,110,55,0.02,365,0.7,11,42,19,6
114,Embellished Velvet Sandals,1800.0,3800.0,120,60,0.02,365,0.8,9,38,18,8
115,Chunky Knit Turtleneck Sweater,3500.0,7500.0,110,55,0.01,180,0.6,10,40,14,6
116,Suede Fringe Jacket,2500.0,5500.0,80,40,0.02,365,0.7,8,35,10,10
117,Floral Print A-Line Skirt,1800.0,3500.0,90,45,0.01,180,0.8,11,42,19,12
118,Leather Crossbody Clutch,2800.0,6000.0,140,70,0.02,365,0.8,9,38,18,14
119,Sequin Mini Dress,2000.0,4200.0,120,60,0.02,365,0.5,8,35,10,6
120,Printed Wrap Maxi Dress,3500.0,7500.0,100,50,0.01,180,0.7,10,40,14,8
121,Leather Lace-Up Boots,1800.0,3500.0,80,40,0.02,365,0.8,11,42,19,10
122,Classic Wool Pullover,2500.0,5500.0,110,55,0.02,365,0.7,9,38,18,6
123,Plaid Wool Blazer,2800.0,6000.0,90,45,0.01,180,0.6,10,40,14,8
124,Denim Shirt Dress,2000.0,4200.0,140,70,0.02,365,0.7,8,35,10,12
125,Lace-Up Combat Boots,3500.0,7500.0,120,60,0.02,180,0.8,9,38,18,14
126,Floral Print Maxi Dress,1800.0,3500.0,110,55,0.03,180,0.5,10,40,14,6
127,Quilted Leather Shoulder Bag,2500.0,5500.0,80,40,0.01,365,0.7,11,42,19,10